"filename", "language", "Markdown", "JavaScript", "TypeScript", "HTML", "vue", "JSON", "SQL", "CSS", "JSON with Comments", "Docker", "XML", "YAML", "PHP", "comment", "blank", "total"
"/home/vagrant/Project_M133/frontend/dist/assets/use-fullscreen.70f676c3.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/vagrant/Project_M133/frontend/env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/vagrant/Project_M133/frontend/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/vagrant/Project_M133/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 6992, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6993
"/home/vagrant/Project_M133/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/home/vagrant/Project_M133/frontend/src/App.vue", "vue", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 150
"/home/vagrant/Project_M133/frontend/src/assets/base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 14, 78
"/home/vagrant/Project_M133/frontend/src/assets/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/vagrant/Project_M133/frontend/src/components/Analysis.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/home/vagrant/Project_M133/frontend/src/components/Competition.vue", "vue", 0, 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 287
"/home/vagrant/Project_M133/frontend/src/components/Confirm.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/home/vagrant/Project_M133/frontend/src/components/Designe.vue", "vue", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 137
"/home/vagrant/Project_M133/frontend/src/components/Evaluation.vue", "vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"/home/vagrant/Project_M133/frontend/src/components/Formular.vue", "vue", 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 272
"/home/vagrant/Project_M133/frontend/src/components/Project.vue", "vue", 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 208
"/home/vagrant/Project_M133/frontend/src/components/Sidebar.vue", "vue", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 153
"/home/vagrant/Project_M133/frontend/src/components/icons/base64pic.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/vagrant/Project_M133/frontend/src/components/icons/bild.vue", "vue", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/vagrant/Project_M133/frontend/src/main.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 44
"/home/vagrant/Project_M133/frontend/src/router/index.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 94
"/home/vagrant/Project_M133/frontend/src/stores/auth.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"/home/vagrant/Project_M133/frontend/src/stores/competition.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 54
"/home/vagrant/Project_M133/frontend/src/stores/confirm.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/home/vagrant/Project_M133/frontend/src/stores/evaluation.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 121
"/home/vagrant/Project_M133/frontend/src/stores/interfaces.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/home/vagrant/Project_M133/frontend/src/stores/projects.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/home/vagrant/Project_M133/frontend/src/stores/users.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"/home/vagrant/Project_M133/frontend/src/utils/networkHelper.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 120
"/home/vagrant/Project_M133/frontend/src/views/AuswertungView.vue", "vue", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/home/vagrant/Project_M133/frontend/src/views/BestaetigungView.vue", "vue", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vagrant/Project_M133/frontend/src/views/BewertungView.vue", "vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/home/vagrant/Project_M133/frontend/src/views/DesigneView.vue", "vue", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/home/vagrant/Project_M133/frontend/src/views/LoginView.vue", "vue", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 105
"/home/vagrant/Project_M133/frontend/src/views/ProjectView.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"/home/vagrant/Project_M133/frontend/src/views/UserView.vue", "vue", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"/home/vagrant/Project_M133/frontend/src/views/VerwaltungView.vue", "vue", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/home/vagrant/Project_M133/frontend/src/views/WettbewerbView.vue", "vue", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vagrant/Project_M133/frontend/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 20, 0, 24
"/home/vagrant/Project_M133/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/home/vagrant/Project_M133/frontend/tsconfig.vite-config.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/vagrant/Project_M133/frontend/tsconfig.vitest.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 13
"/home/vagrant/Project_M133/frontend/vite.config.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/home/vagrant/Project_M133/mysql/initscripts/001tabels.sql", "SQL", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 20, 118
"/home/vagrant/Project_M133/mysql/initscripts/002datas.sql", "SQL", 0, 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 10, 365
"/home/vagrant/Project_M133/package-lock.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/vagrant/Project_M133/package.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 5, 72, 639, 27, 1624, 10876, 453, 66, 18, 51, 1, 39, 2015, 519, 595, 17000
