"filename", "language", "JSON", "TypeScript", "JavaScript", "vue", "HTML", "CSS", "SQL", "JSON with Comments", "Docker", "YAML", "Markdown", "Shell Script", "PHP", "XML", "comment", "blank", "total"
"/home/vagrant/Project_M133/frontend/src/components/Sidebar.vue", "vue", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 137
"/home/vagrant/Project_M133/frontend/src/components/icons/base64pic.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/vagrant/Project_M133/frontend/src/components/icons/bild.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/vagrant/Project_M133/frontend/src/main.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 41
"/home/vagrant/Project_M133/frontend/src/router/index.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 94
"/home/vagrant/Project_M133/frontend/src/stores/auth.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 75
"/home/vagrant/Project_M133/frontend/src/stores/competition.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"/home/vagrant/Project_M133/frontend/src/stores/confirm.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/home/vagrant/Project_M133/frontend/src/stores/evaluation.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 120
"/home/vagrant/Project_M133/frontend/src/stores/interfaces.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/home/vagrant/Project_M133/frontend/src/stores/projects.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 70
"/home/vagrant/Project_M133/frontend/src/stores/users.ts", "TypeScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"/home/vagrant/Project_M133/frontend/src/utils/networkHelper.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 121
"/home/vagrant/Project_M133/frontend/src/views/AuswertungView.vue", "vue", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/home/vagrant/Project_M133/frontend/src/views/BestaetigungView.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vagrant/Project_M133/frontend/src/views/BewertungView.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/home/vagrant/Project_M133/frontend/src/views/DesigneView.vue", "vue", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/home/vagrant/Project_M133/frontend/src/views/LoginView.vue", "vue", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 109
"/home/vagrant/Project_M133/frontend/src/views/ProjectView.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/home/vagrant/Project_M133/frontend/src/views/UserView.vue", "vue", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/home/vagrant/Project_M133/frontend/src/views/VerwaltungView.vue", "vue", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"/home/vagrant/Project_M133/frontend/src/views/WettbewerbView.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vagrant/Project_M133/frontend/tsconfig.app.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 24
"/home/vagrant/Project_M133/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/vagrant/Project_M133/frontend/tsconfig.vite-config.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/vagrant/Project_M133/frontend/tsconfig.vitest.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 13
"/home/vagrant/Project_M133/frontend/vite.config.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/home/vagrant/Project_M133/mysql/initscripts/001tabels.sql", "SQL", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 20, 115
"/home/vagrant/Project_M133/mysql/initscripts/002datas.sql", "SQL", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 10, 298
"/home/vagrant/Project_M133/package-lock.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/vagrant/Project_M133/package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/vagrant/Project_M133/poppel.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 8
"Total", "-", 7103, 640, 24, 1491, 13, 58, 383, 18, 51, 38, 5, 7, 2016, 1, 517, 630, 12995
