"filename", "language", "SQL", "PHP", "JavaScript", "JSON", "TypeScript", "HTML", "vue", "XML", "CSS", "JSON with Comments", "Docker", "YAML", "Markdown", "Shell Script", "Ini", "comment", "blank", "total"
"/home/vagrant/Project_M133/frontend/src/stores/evaluation.ts", "TypeScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 121
"/home/vagrant/Project_M133/frontend/src/stores/interfaces.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/home/vagrant/Project_M133/frontend/src/stores/projects.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/home/vagrant/Project_M133/frontend/src/stores/users.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"/home/vagrant/Project_M133/frontend/src/utils/networkHelper.ts", "TypeScript", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 120
"/home/vagrant/Project_M133/frontend/src/views/AuswertungView.vue", "vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/home/vagrant/Project_M133/frontend/src/views/BestaetigungView.vue", "vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vagrant/Project_M133/frontend/src/views/BewertungView.vue", "vue", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/home/vagrant/Project_M133/frontend/src/views/DesigneView.vue", "vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/home/vagrant/Project_M133/frontend/src/views/LoginView.vue", "vue", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 109
"/home/vagrant/Project_M133/frontend/src/views/ProjectView.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"/home/vagrant/Project_M133/frontend/src/views/UserView.vue", "vue", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"/home/vagrant/Project_M133/frontend/src/views/VerwaltungView.vue", "vue", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/home/vagrant/Project_M133/frontend/src/views/WettbewerbView.vue", "vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/vagrant/Project_M133/frontend/tsconfig.app.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 24
"/home/vagrant/Project_M133/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"/home/vagrant/Project_M133/frontend/tsconfig.vite-config.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/vagrant/Project_M133/frontend/tsconfig.vitest.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 13
"/home/vagrant/Project_M133/frontend/vite.config.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/home/vagrant/Project_M133/install.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"/home/vagrant/Project_M133/mysql/initscripts/001tabels.sql", "SQL", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 118
"/home/vagrant/Project_M133/mysql/initscripts/002datas.sql", "SQL", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 365
"/home/vagrant/Project_M133/package-lock.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/vagrant/Project_M133/package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/vagrant/Project_M133/poppel.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 8
"Total", "-", 453, 2028, 24, 7122, 639, 13, 1627, 1, 61, 18, 51, 39, 5, 7, 135, 1995, 913, 15131
